account,smp,gpu,mpi,htc
djelev,0,0,0,10000
chuang,0,0,0,10000
rckubendran,10000,0,0,0
mfarag,10000,0,0,0
zsiddiqu,0,0,0,10000
jevankovich,0,0,0,10000
ibanerjee,10000,0,0,0
asomasundaram,0,0,0,10000
ehurley,0,0,0,10000
sbadylak,0,0,0,10000
bilitski,10000,0,0,0
aantony,0,0,0,10000
pbrusilosky,10000,0,0,0
mlin,0,0,0,10000
tmeyer,10000,0,0,0
occam,50000,0,0,0
ccdg,0,0,0,10000
jshaffer,0,0,0,10000
cs1645-2020f,10000,0,0,0
minsanally,0,0,0,10000
mwhitley,0,0,0,10000
vbrown,0,0,0,10000
kchen,10000,0,0,0
kdemanelis,0,0,0,10000
lcoffman,0,0,0,10000
pzhou,10000,0,0,0
cmcclung,0,0,0,10000
qding,0,0,0,10000
lsabik,0,0,0,10000
seack,10000,0,0,0
mkrauland,0,0,0,10000
evalenzi,0,0,0,10000
rliang,0,0,0,10000
dmosse,10000,0,0,0
vpetrucci,10000,0,0,0
eswanson,10000,0,0,0
mmcgeachy,0,0,0,10000
fcalabro,0,0,0,10000
ukar,0,0,0,10000
jphillippi,0,0,0,10000
hschwerdt,10000,0,0,0
biosc1640_2021s,10000,0,0,0
hrichie,10000,0,0,0
bioinf2071_2021s,10000,0,0,0
jduraj,0,50000,0,0
acarlson,10000,0,0,0
vkhanna,10000,0,0,0
lyoung,200000,100000,0,500000
aleme,0,0,0,10000
hugen2072-2021s,0,0,0,10000
jbohland,10000,0,0,0
pohodnicki,10000,0,0,0
che1017_2021s,10000,0,0,0
abansal,0,0,0,10000
lmoreland,0,0,0,10000
amugler,10000,0,0,0
skuebbing,2000,8000,0,0
ywang,10000,0,0,0
tzhang,10000,0,0,0
gtrevejonunez,0,0,0,10000
dbain,10000,0,0,0
rpatel,0,0,0,10000
salzaiti,0,0,0,10000
gxiao,0,0,0,10000
inettleship,10000,0,0,0
bbidanda,10000,0,0,0
jvwilliams,0,0,0,10000
me2256_2021s,10000,0,10000,0
wgao,10000,0,0,0
cs2770_2021s,0,40000,0,0
mbhossain,0,0,0,10000
jhlee,0,0,0,10000
cschunn,10000,0,0,0
swoodcock,0,0,0,10000
jyang,10000,0,0,0
jwiezorek,10000,0,0,0
ling2340_2021s,10000,0,0,0
mscbio2066_2021s,20000,0,0,0
ggittes,0,0,0,10000
shaig,10000,0,0,0
rparker,10000,0,0,0
dschaeffer,0,0,0,10000
lvujanovic,0,0,0,10000
cs1645-2021s,0,10000,0,0
mkoenigshoff,0,0,0,10000
utzangrilli,10000,0,0,0
jhwang,0,0,0,10000
ktamama,0,0,0,10000
hsubramanian,0,0,0,10000
yanshanwang,0,0,0,10000
mbertocc,0,0,0,10000
lhelou,10000,0,0,0
lfang,10000,0,0,0
